Partnership Names,Partnership Coordinates
Wapping Hydraulic Power Station,"[""(51.50689697265625,-0.05221803858876228)""]"
Foster+Partners Ltd.,"[""(51.47963,-0.169838)""]"
ERCO,"[""(51.508415,-0.142497)""]"
Berkeley Group,"[""(51.486203,-0.119346)""]"
Camden Council,"[""(51.533481,-0.125043)""]"
Hackney Council,"[""(51.545074462890625,-0.05692468211054802)""]"
"Department for Business, Energy and Industrial Strategy","[""(51.4966889,-0.1416589)""]"
Partnering Regeneration Development,"[""(51.503262,-0.09637)""]"
Chartered Institution of Building Services Engineers,"[""(51.44258,-0.154379)""]"
Acme Studios Ltd.,"[""(51.5191467,-0.0358161)""]"
Hackney Council,"[""(51.545074462890625,-0.05692468211054802)""]"
London Borough of Barking & Dagenham,"[""(51.536015,0.078725)""]"
London Legacy Development Corporation,"[""(51.514715,-0.14397)""]"
Lendlease,"[""(51.518717,-0.173211)""]"
Partnering Regeneration Development ,"[""(51.503262,-0.09637)""]"
Westway Trust,"[""(51.518171,-0.208935)""]"
Teviot Estate Developments LLP,"[""(51.69087600708008,-0.007902299985289574)""]"
Prospective Labs|Transport for London|Birkbeck College,"[""(51.539088,-0.008568)"",""(51.5001567804669, -0.13387705732143)"",""(51.521891, -0.130359)""]"
Birkbeck College|King's College London,"[""(51.521891, -0.130359)"", ""(51.511612, -0.116253)""]"
Historic England,"[""(51.51077,-0.090924)""]"
Vucity Ltd|New London Architecture Ltd.,"[""(51.505483,-0.114849)"", ""(51.515568,-0.091634)""]"
Moorfields Eye Hospital|Ubisense,"[""(51.527246,-0.089889)"",""(52.213171,0.138387)""]"
Savills,"[""(51.5165373, -0.1430636)""]"
Trellick Tower Resident's Association,"[""(51.5223412, -0.2074646)""]"
Imperial College London,"[""(51.4983184, -0.1768987)""]"
Granville Community Kitchen,"[""(51.5327185, -0.1976229)""]"
"HospitalityUK|Greter London Assembly|Marchmont Association,Camden|London Borough of Tower Hamlets|Short Term Accommodation Assocation","[""(51.5180978, -0.1235851)"", ""(51.5074947, 0.0162230)"", ""(51.5279746, -0.1247866)"", ""(51.4859721, -0.1183900)""]"
HTA|Red Loft|Savills,"[""(51.5442062, -0.0235598)"", ""(51.5220111, -0.0852815)"", ""(51.5165373, -0.1430636)""]"
United St Saviour's Charity|Southwark Charities|Housing LIN,"[""(51.5021618, -0.0818345)"", ""(51.4890942, -0.0812164)"", ""(51.5195166, -0.0999879)""]"
Space Syntax Ltd,"[""(51.5260816, -0.0790413)""]"
Raze Collection,"[""(51.546913, -0.074947)""]"
Enfield Council,"[""(51.6549375, -0.0803125)""]"
Deloite|London City Airport|Heathrow Airport,"[""(51.515783, -0.107134 )"",""(51.502982, 0.053069)""""(51.469777, -0.449579)""]"
"Royal Society for the Encouragement of Arts, Manufactures and Commerce","[""(51.5093970, -0.1227175)""]"
Public Health England|Greater London Authority|Care Quality Commission|PRP Architects LLP|Chartered Institution of Building Services Engineers,"[""(51.5045224, -0.0221204)"", ""(51.5074947, 0.0162230)"", ""(51.5424985, -0.0113610)"", ""(51.5195166, -0.0999879)"", ""(51.4425798, -0.1543532)""]"
